 TIME             FUK             MAJO            INU             NE93            BJT             MA2             XAN             ULN             SHR             MDJ             INCN      
       0.000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
       1.000 -0.39435282E-13 -0.38245137E-12  0.14658886E-12 -0.49230833E-14  0.39401166E-13 -0.13325467E-14  0.53363096E-15  0.52097264E-15 -0.24673046E-13 -0.12711399E-12 -0.14019331E-12
       2.000  0.10170090E-12  0.77045977E-12  0.74155855E-14  0.24541931E-13  0.16022013E-14 -0.14259903E-14  0.17939884E-15 -0.12840950E-14  0.81446553E-14  0.39075605E-13 -0.36588372E-13
       3.000  0.40897106E-13  0.39133267E-12 -0.15794947E-12  0.49668803E-14 -0.41879321E-13  0.12798545E-14 -0.11148027E-14 -0.29570599E-15  0.26362893E-13  0.13334452E-12  0.14746449E-12
       4.000 -0.10719895E-12 -0.85058643E-12 -0.15064561E-13 -0.25816456E-13 -0.21686413E-14  0.13672373E-14 -0.51285191E-15  0.12606297E-14 -0.79728832E-14 -0.42042224E-13  0.37348665E-13
       5.000 -0.42810051E-13 -0.47064130E-12  0.14469943E-12 -0.52163486E-14  0.43075626E-13 -0.14665900E-14  0.10829347E-14 -0.82665698E-16 -0.26030217E-13 -0.14081839E-12 -0.15599859E-12
       6.000  0.11194427E-12  0.75141062E-12 -0.39078316E-13  0.26692509E-13  0.12731002E-14 -0.15790235E-14  0.71080530E-15 -0.19603299E-14  0.12808251E-13  0.42611218E-13 -0.40549006E-13
       7.000  0.42463490E-13  0.61047755E-13 -0.26658929E-12  0.45273865E-14 -0.45823807E-13  0.12789223E-14 -0.67034976E-15 -0.73866019E-15  0.36148175E-13  0.14279351E-12  0.15944914E-12
       8.000 -0.12155730E-12 -0.18545736E-11 -0.17299079E-12 -0.29395410E-13 -0.18958503E-14  0.11568525E-14  0.25160644E-16  0.11173972E-14  0.18078254E-14 -0.55069476E-13  0.32754732E-13
       9.000 -0.50382717E-13 -0.22200872E-11 -0.97511378E-13 -0.69412987E-14  0.46860067E-13 -0.22313330E-14  0.17749474E-14 -0.14387649E-15 -0.12565019E-13 -0.16662107E-12 -0.18353584E-12
      10.000  0.11771671E-12 -0.18738365E-11 -0.44709450E-12  0.27003997E-13  0.10815395E-15 -0.27357887E-14  0.13721403E-14 -0.18900765E-14  0.38430577E-13  0.30821619E-13 -0.59629762E-13
      11.000  0.36491541E-13 -0.38019389E-11 -0.88505405E-12  0.11898262E-14 -0.51378099E-13 -0.19043135E-15 -0.60766615E-16 -0.18005610E-15  0.73098710E-13  0.13081346E-12  0.15174712E-12
      12.000 -0.14735297E-12 -0.71987260E-11 -0.10110520E-11 -0.37078819E-13 -0.31675029E-14 -0.11513533E-14  0.87543569E-15  0.22454738E-14  0.44086341E-13 -0.10012927E-12 -0.11010099E-14
      13.000 -0.70926736E-13 -0.92070407E-11 -0.12160163E-11 -0.13653648E-13  0.49060590E-13 -0.58979182E-14  0.30481500E-14  0.13155858E-14  0.38736781E-13 -0.23532702E-12 -0.25179942E-12
      14.000  0.10934148E-12 -0.11200106E-10 -0.19540082E-11  0.21174188E-13 -0.34945029E-14 -0.77330375E-14  0.29694590E-14 -0.46015695E-16  0.10751477E-12 -0.33623009E-13 -0.12908585E-12
      15.000  0.12278940E-13 -0.16643436E-10 -0.28397894E-11 -0.10277498E-13 -0.60134748E-13 -0.65876649E-14  0.19005661E-14  0.24377551E-14  0.15754218E-12  0.52769525E-13  0.82205359E-13
      16.000 -0.19614386E-12 -0.24213819E-10 -0.34265931E-11 -0.55163564E-13 -0.77224585E-14 -0.96745165E-14  0.35431742E-14  0.57231159E-14  0.13471062E-12 -0.23003528E-12 -0.11427415E-12
      17.000 -0.11627791E-12 -0.30216298E-10 -0.41559124E-11 -0.32810918E-13  0.47459493E-13 -0.17246421E-13  0.66358777E-14  0.53880272E-14  0.13637990E-12 -0.40820828E-12 -0.41928751E-12
      18.000  0.75065085E-13 -0.36194335E-10 -0.55233419E-11  0.42025691E-15 -0.12638620E-13 -0.21991317E-13  0.74115859E-14  0.46667634E-14  0.21768090E-12 -0.22050988E-12 -0.31592273E-12
      19.000 -0.41836102E-13 -0.46461873E-10 -0.70759187E-11 -0.40204386E-13 -0.76352663E-13 -0.23939086E-13  0.73079212E-14  0.81877086E-14  0.27178077E-12 -0.17019414E-12 -0.12514923E-12
      20.000 -0.27920780E-12 -0.59882573E-10 -0.83037143E-11 -0.95695759E-13 -0.21117312E-13 -0.31010870E-13  0.10330591E-13  0.12561776E-13  0.23560002E-12 -0.53339125E-12 -0.39259397E-12
      21.000 -0.19665709E-12 -0.72301082E-10 -0.96948391E-11 -0.78318241E-13  0.35036049E-13 -0.43415350E-13  0.14998274E-13  0.12978535E-13  0.21675124E-12 -0.78371189E-12 -0.78212815E-12
