 TIME             FUK             MAJO            INU             NE93            BJT             MA2             XAN             ULN             SHR             MDJ             INCN      
       0.000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
       1.000 -0.20007260E-13 -0.11261489E-12  0.72287577E-13  0.22514717E-14  0.12734321E-14 -0.46615354E-14  0.16754777E-15 -0.77134486E-16 -0.99890043E-13  0.74719647E-13 -0.12824052E-13
       2.000  0.50483956E-13  0.20786833E-12  0.59233484E-14 -0.11103178E-13  0.70207313E-16 -0.48327265E-14  0.59246179E-16  0.18387401E-15  0.37912839E-13 -0.22746301E-13 -0.35844252E-14
       3.000  0.20749116E-13  0.10958007E-12 -0.79382773E-13 -0.22682712E-14 -0.13530174E-14  0.45421523E-14 -0.34143719E-15  0.41851441E-16  0.10624834E-12 -0.78382441E-13  0.13487456E-13
       4.000 -0.53330651E-13 -0.25258210E-12 -0.16643191E-13  0.11697225E-13 -0.91856371E-16  0.47220502E-14 -0.15857574E-15 -0.18244207E-15 -0.39579962E-13  0.24556119E-13  0.36025937E-14
       5.000 -0.22105156E-13 -0.19724058E-12  0.52738538E-13  0.24313997E-14  0.13821581E-14 -0.50018292E-14  0.33142087E-15  0.13069766E-16 -0.11071469E-12  0.83044765E-13 -0.14482147E-13
       6.000  0.54743070E-13  0.68791634E-13 -0.58557068E-13 -0.11977973E-13  0.39940115E-16 -0.50525055E-14  0.21231160E-15  0.28861095E-15  0.46340522E-13 -0.24207752E-13 -0.44345310E-14
       7.000  0.19954179E-13 -0.24457350E-12 -0.21606635E-12 -0.18796164E-14 -0.15208040E-14  0.51742865E-14 -0.22411619E-15  0.11968336E-15  0.12580672E-12 -0.82768179E-13  0.13678067E-13
       8.000 -0.63350479E-13 -0.10044498E-11 -0.24496065E-12  0.13659798E-13 -0.15439137E-15  0.51787049E-14 -0.25840489E-16 -0.13739213E-15 -0.33825163E-13  0.34303173E-13  0.15764487E-14
       9.000 -0.30709648E-13 -0.14773908E-11 -0.31870053E-12  0.37851170E-14  0.13914104E-14 -0.55656508E-14  0.49254085E-15  0.61882774E-16 -0.10732774E-12  0.10176357E-12 -0.19732716E-13
