 TIME             FUK             MAJO            INU             NE93            BJT             MA2             XAN             ULN             SHR             MDJ             INCN      
       0.000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
       1.000  0.51125931E-13 -0.64174955E-12 -0.59876029E-12  0.53597283E-14 -0.30961132E-13 -0.16501257E-14 -0.52910181E-15 -0.19666530E-14  0.25821788E-13  0.99540310E-13  0.10419267E-12
       2.000 -0.84975815E-13  0.10733192E-11 -0.10707958E-12 -0.23363616E-13 -0.69846930E-14 -0.45237237E-14 -0.49685837E-15  0.57511770E-16  0.60219417E-13 -0.38631366E-14  0.56472570E-13
       3.000 -0.53523335E-13  0.66229018E-12  0.62648788E-12 -0.55654616E-14  0.31649896E-13  0.17340682E-14  0.14510814E-14 -0.17428131E-15 -0.27334389E-13 -0.10508332E-12 -0.11010934E-12
       4.000  0.88458576E-13 -0.11747971E-11  0.82527774E-13  0.24146289E-13  0.66072669E-14  0.44627513E-14  0.15246325E-14 -0.22806744E-14 -0.66756884E-13  0.31174216E-14 -0.59828793E-13
       5.000  0.52618464E-13 -0.79303774E-12 -0.74584974E-12  0.46371174E-14 -0.33644589E-13 -0.23207291E-14 -0.53130718E-15 -0.19927293E-14  0.16560571E-13  0.10600793E-12  0.11246429E-12
       6.000 -0.10082734E-12  0.99248963E-12 -0.29472969E-12 -0.27891719E-13 -0.77034922E-14 -0.53857754E-14 -0.83950283E-15  0.18109367E-15  0.40662922E-13 -0.14792097E-13  0.53502165E-13
       7.000 -0.71343615E-13  0.44035121E-13  0.32425247E-12 -0.10303022E-13  0.32815856E-13  0.13398238E-14  0.69483906E-15 -0.35138373E-15 -0.81173976E-13 -0.13507676E-12 -0.13715380E-12
       8.000  0.73335369E-13 -0.33846639E-11 -0.61569115E-12  0.18131841E-13  0.25016654E-14  0.38195272E-14 -0.17121563E-15 -0.32230895E-14 -0.17068697E-12 -0.30615962E-13 -0.92418717E-13
       9.000  0.14072865E-13 -0.55910911E-11 -0.20417859E-11 -0.97718807E-14 -0.44765560E-13 -0.43992225E-14 -0.37246359E-14 -0.38926979E-14 -0.15105682E-12  0.56081809E-13  0.76566276E-13
      10.000 -0.18116836E-12 -0.70776853E-11 -0.22758762E-11 -0.54125294E-13 -0.20735297E-13 -0.87919196E-14 -0.57756513E-14 -0.30998745E-14 -0.22699371E-12 -0.11637272E-12 -0.20510127E-13
      11.000 -0.18359740E-12 -0.11560567E-10 -0.26327006E-11 -0.46854143E-13  0.16611951E-13 -0.29347065E-14 -0.63590520E-14 -0.59910871E-14 -0.50406719E-12 -0.30025021E-12 -0.27136427E-12
      12.000 -0.73680299E-13 -0.18755977E-10 -0.50871610E-11 -0.32623613E-13 -0.26049778E-13 -0.23676991E-14 -0.10254817E-13 -0.12231727E-13 -0.79817049E-12 -0.25351885E-12 -0.27499540E-12
      13.000 -0.20490812E-12 -0.26279721E-10 -0.84848549E-11 -0.85335040E-13 -0.88992300E-13 -0.14083002E-13 -0.17903228E-13 -0.16969406E-13 -0.10312720E-11 -0.25021821E-12 -0.16136941E-12
      14.000 -0.50056231E-12 -0.36820315E-10 -0.11024685E-10 -0.16101776E-12 -0.76638751E-13 -0.22192385E-13 -0.24904739E-13 -0.21173169E-13 -0.14335164E-11 -0.55719333E-12 -0.36179225E-12
      15.000 -0.60063006E-12 -0.54570064E-10 -0.14251985E-10 -0.18622357E-12 -0.54111334E-13 -0.19953744E-13 -0.31488392E-13 -0.30584348E-13 -0.21321894E-11 -0.90032620E-12 -0.74944399E-12
      16.000 -0.59991875E-12 -0.76806419E-10 -0.20416677E-10 -0.21159906E-12 -0.12334748E-12 -0.24589272E-13 -0.42952147E-13 -0.44917908E-13 -0.29372202E-11 -0.10179367E-11 -0.88582295E-12
      17.000 -0.88971616E-12 -0.98804193E-10 -0.28264424E-10 -0.31831536E-12 -0.21802552E-12 -0.43666631E-13 -0.59771741E-13 -0.59004427E-13 -0.37678759E-11 -0.12190489E-11 -0.92198085E-12
      18.000 -0.13829417E-11 -0.12468034E-09 -0.35847164E-10 -0.45772587E-12 -0.23446370E-12 -0.59771801E-13 -0.77239576E-13 -0.74052865E-13 -0.48806935E-11 -0.17980164E-11 -0.13340823E-11
      19.000 -0.16846057E-11 -0.16259955E-09 -0.44958283E-10 -0.55037897E-12 -0.24555257E-12 -0.65784180E-13 -0.95837769E-13 -0.96386981E-13 -0.64268121E-11 -0.24504505E-11 -0.19781928E-11
      20.000 -0.19051876E-11 -0.21160084E-09 -0.58139408E-10 -0.65339312E-12 -0.36241011E-12 -0.80708480E-13 -0.12154263E-12 -0.12568532E-12 -0.82092121E-11 -0.28922733E-11 -0.23737785E-11
      21.000 -0.24770930E-11 -0.26489526E-09 -0.74002372E-10 -0.85564226E-12 -0.51117374E-12 -0.11264500E-12 -0.15493268E-12 -0.15637749E-12 -0.10140916E-10 -0.34706395E-11 -0.26949580E-11
      22.000 -0.33005827E-11 -0.32404248E-09 -0.90412998E-10 -0.11029797E-11 -0.57919008E-12 -0.14243538E-12 -0.19089043E-12 -0.18993398E-12 -0.12502952E-10 -0.45089920E-11 -0.34664973E-11
      23.000 -0.39411235E-11 -0.39723279E-09 -0.10942088E-09 -0.13091314E-11 -0.64790159E-12 -0.16254736E-12 -0.22998097E-12 -0.23333386E-12 -0.15469900E-10 -0.56677483E-11 -0.45239908E-11
      24.000 -0.45261242E-11 -0.48530163E-09 -0.13386688E-09 -0.15381501E-11 -0.83837750E-12 -0.19398859E-12 -0.27872784E-12 -0.28621592E-12 -0.18835228E-10 -0.66370154E-11 -0.53395499E-11
      25.000 -0.55326918E-11 -0.58276952E-09 -0.16218295E-09 -0.18870450E-11 -0.10683280E-11 -0.24549340E-12 -0.33775969E-12 -0.34253891E-12 -0.22501927E-10 -0.78054584E-11 -0.61124848E-11
      26.000 -0.68458517E-11 -0.69142586E-09 -0.19200465E-09 -0.22952563E-11 -0.12153143E-11 -0.29603612E-12 -0.40160225E-12 -0.40399190E-12 -0.26774881E-10 -0.95273781E-11 -0.74203344E-11
      27.000 -0.79865631E-11 -0.81917071E-09 -0.22565414E-09 -0.26688315E-11 -0.13702686E-11 -0.33765268E-12 -0.47102776E-12 -0.47817947E-12 -0.31853431E-10 -0.11422650E-10 -0.90745762E-11
      28.000 -0.91008013E-11 -0.96644318E-09 -0.26628862E-09 -0.30793448E-11 -0.16650313E-11 -0.39348792E-12 -0.55313648E-12 -0.56462364E-12 -0.37519245E-10 -0.13152063E-10 -0.10494284E-10
      29.000 -0.10714598E-10 -0.11277333E-08 -0.31211448E-09 -0.36324870E-11 -0.20077940E-11 -0.47284237E-12 -0.64842143E-12 -0.65675924E-12 -0.43660028E-10 -0.15149944E-10 -0.11906643E-10
      30.000 -0.12695047E-10 -0.13053525E-08 -0.36049260E-09 -0.42603389E-11 -0.22652788E-11 -0.55254298E-12 -0.75079416E-12 -0.75656422E-12 -0.50602713E-10 -0.17803719E-10 -0.13946841E-10
      31.000 -0.14513235E-10 -0.15072619E-08 -0.41404253E-09 -0.48603911E-11 -0.25387599E-11 -0.62414012E-12 -0.86116528E-12 -0.87237352E-12 -0.58573197E-10 -0.20686961E-10 -0.16398319E-10
      32.000 -0.16335700E-10 -0.17327239E-08 -0.47626046E-09 -0.55124421E-11 -0.29715724E-11 -0.71313603E-12 -0.98736626E-12 -0.10035660E-11 -0.67339941E-10 -0.23427447E-10 -0.18620951E-10
      33.000 -0.18742228E-10 -0.19755341E-08 -0.54507093E-09 -0.63314995E-11 -0.34610713E-11 -0.82942493E-12 -0.11299288E-11 -0.11429176E-11 -0.76770602E-10 -0.26510015E-10 -0.20872978E-10
      34.000 -0.21579041E-10 -0.22401227E-08 -0.61750109E-09 -0.72412672E-11 -0.38619817E-11 -0.94744848E-12 -0.12821884E-11 -0.12925981E-11 -0.87214184E-10 -0.30357899E-10 -0.23852790E-10
      35.000 -0.24261487E-10 -0.25378969E-08 -0.69649798E-09 -0.81297589E-11 -0.42869751E-11 -0.10582538E-11 -0.14450926E-11 -0.14616306E-11 -0.98928408E-10 -0.34492066E-10 -0.27311506E-10
      36.000 -0.26979085E-10 -0.28682300E-08 -0.78594927E-09 -0.90858344E-11 -0.48918627E-11 -0.11899957E-11 -0.16270029E-11 -0.16492012E-11 -0.11166791E-09 -0.38503385E-10 -0.30543106E-10
      37.000 -0.30370911E-10 -0.32202523E-08 -0.88347257E-09 -0.10234559E-10 -0.55619492E-11 -0.13532627E-11 -0.18282826E-11 -0.18474305E-11 -0.12526993E-09 -0.42932896E-10 -0.33840666E-10
      38.000 -0.34259115E-10 -0.35938190E-08 -0.98570136E-09 -0.11490165E-10 -0.61389633E-11 -0.15198778E-11 -0.20416802E-11 -0.20588046E-11 -0.14009805E-09 -0.48242810E-10 -0.37972106E-10
      39.000 -0.37996844E-10 -0.40015935E-08 -0.10958933E-08 -0.12730215E-10 -0.67483787E-11 -0.16802798E-11 -0.22684575E-11 -0.22931340E-11 -0.15644692E-09 -0.53894521E-10 -0.42651475E-10
      40.000 -0.41799404E-10 -0.44495059E-08 -0.12183214E-08 -0.14053586E-10 -0.75597036E-11 -0.18654131E-11 -0.25178248E-11 -0.25492912E-11 -0.17406650E-09 -0.59437730E-10 -0.47099484E-10
      41.000 -0.46371387E-10 -0.49319964E-08 -0.13502719E-08 -0.15596220E-10 -0.84448849E-11 -0.20864997E-11 -0.27899888E-11 -0.28184883E-11 -0.19276465E-09 -0.65476155E-10 -0.51648375E-10
      42.000 -0.51507246E-10 -0.54474589E-08 -0.14880101E-08 -0.17261654E-10 -0.92315016E-11 -0.23124584E-11 -0.30768032E-11 -0.31034022E-11 -0.21291368E-09 -0.72514515E-10 -0.57142635E-10
      43.000 -0.56490663E-10 -0.60013814E-08 -0.16351767E-08 -0.18915918E-10 -0.10059240E-10 -0.25331273E-11 -0.33795166E-11 -0.34146899E-11 -0.23483894E-09 -0.79946738E-10 -0.63253849E-10
      44.000 -0.61565878E-10 -0.65932793E-08 -0.17964085E-08 -0.20668971E-10 -0.11112420E-10 -0.27825464E-11 -0.37080540E-11 -0.37510223E-11 -0.25827855E-09 -0.87276578E-10 -0.69121188E-10
