 TIME             FUK             MAJO            INU             NE93            BJT             MA2             XAN             ULN             SHR             MDJ             INCN      
       0.000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
       1.000 -0.18422276E-15 -0.23686933E-13  0.12142943E-14 -0.28425049E-16 -0.27770648E-17  0.84431343E-18 -0.96669092E-18  0.93103034E-18  0.10194504E-15 -0.12139103E-15 -0.49130478E-16
       2.000 -0.19838641E-15 -0.36275381E-13 -0.20684524E-14 -0.27772068E-16  0.27008209E-16 -0.73008287E-18 -0.88099724E-18  0.10599689E-17 -0.85109049E-16 -0.36842054E-15 -0.34485781E-15
       3.000 -0.35659933E-16 -0.17947742E-13 -0.49771263E-14 -0.11288291E-16  0.22019667E-16 -0.47045437E-17 -0.86417839E-18  0.47625228E-19 -0.34503264E-16 -0.31605294E-15 -0.36451343E-15
       4.000 -0.12819037E-15 -0.32205985E-13 -0.72583023E-14 -0.55075059E-16 -0.31563655E-16 -0.13752450E-16 -0.19687820E-17 -0.11797507E-17  0.70152474E-15 -0.31586627E-15 -0.29852387E-15
       5.000 -0.57906102E-15 -0.12819572E-12 -0.19607708E-13 -0.18066568E-15 -0.79502524E-16 -0.38908274E-16 -0.24202180E-17 -0.21188312E-17  0.20572896E-14 -0.10448931E-14 -0.91219542E-15
       6.000 -0.10938347E-14 -0.28175944E-12 -0.51761469E-13 -0.36485341E-15 -0.13247523E-15 -0.97387196E-16  0.10304042E-17 -0.21798252E-17  0.43764383E-14 -0.25150637E-14 -0.23611766E-14
       7.000 -0.17977368E-14 -0.50968925E-12 -0.10689849E-12 -0.66559647E-15 -0.28095608E-15 -0.20998783E-15  0.11401072E-16  0.22541501E-17  0.89373560E-14 -0.45868725E-14 -0.43733042E-14
       8.000 -0.33118933E-14 -0.95301273E-12 -0.19512912E-12 -0.12142139E-14 -0.55664551E-15 -0.40636011E-15  0.33879988E-16  0.18247521E-16  0.17057875E-13 -0.80406215E-14 -0.75216272E-14
       9.000 -0.59037183E-14 -0.17722847E-11 -0.34024085E-12 -0.20885120E-14 -0.91984808E-15 -0.72989565E-15  0.78021371E-16  0.53562618E-16  0.29655096E-13 -0.14069097E-13 -0.13063091E-13
