 TIME             FUK             MAJO            INU             NE93            BJT             MA2             XAN             ULN             SHR             MDJ             INCN      
       0.000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
       1.000 -0.91809180E-16 -0.65816284E-14  0.59983607E-15  0.12918866E-16 -0.11798148E-18  0.28925830E-17 -0.30623717E-18 -0.13074326E-18  0.41002301E-15  0.71072382E-16 -0.41900244E-17
       2.000 -0.10611307E-15 -0.11169905E-13 -0.12849378E-14  0.13418685E-16  0.67137431E-18 -0.94066912E-18 -0.35912032E-18 -0.99074240E-19 -0.48558583E-15  0.22068853E-15 -0.34847689E-16
       3.000 -0.56713575E-16 -0.10855002E-13 -0.42412792E-14  0.95787041E-17 -0.25033148E-18 -0.49823966E-17 -0.66601637E-18  0.27167664E-18 -0.81407046E-15  0.21197416E-15 -0.54245430E-16
       4.000 -0.19827391E-15 -0.29770986E-13 -0.10213599E-13  0.40354366E-16 -0.42371423E-17 -0.27846340E-17 -0.18055324E-17  0.10921887E-17  0.52726877E-15  0.27893447E-15 -0.10092123E-15
       5.000 -0.65136527E-15 -0.93562962E-13 -0.28085255E-13  0.12315258E-15 -0.10928500E-16 -0.20218202E-17 -0.35103076E-17  0.26631139E-17  0.20126108E-14  0.86845343E-15 -0.28287514E-15
       6.000 -0.13709315E-14 -0.21375283E-12 -0.68352928E-13  0.25878216E-15 -0.22591633E-16 -0.11246582E-16 -0.49967800E-17  0.54047570E-17  0.32544158E-14  0.20627944E-14 -0.67237950E-15
       7.000 -0.25595783E-14 -0.42081215E-12 -0.14082778E-12  0.48921271E-15 -0.44764828E-16 -0.26306245E-16 -0.54575600E-17  0.94528565E-17  0.69427764E-14  0.38851756E-14 -0.13247982E-14
       8.000 -0.47187127E-14 -0.78947442E-12 -0.26168316E-12  0.89522244E-15 -0.81996732E-16 -0.45686139E-16 -0.33942247E-17  0.14656038E-16  0.14809552E-13  0.69362081E-14 -0.24006622E-14
       9.000 -0.82381303E-14 -0.14113384E-11 -0.45732882E-12  0.15402665E-14 -0.13770175E-15 -0.86215714E-16  0.38745864E-17  0.21071506E-16  0.25518081E-13  0.12104956E-13 -0.41589916E-14
      10.000 -0.13373610E-13 -0.23703746E-11 -0.75852767E-12  0.24791852E-14 -0.21938204E-15 -0.16860135E-15  0.19090166E-16  0.29223909E-16  0.38807673E-13  0.19942576E-13 -0.68450874E-14
      11.000 -0.20712101E-13 -0.37706498E-11 -0.11979366E-11  0.38241978E-14 -0.33972209E-15 -0.30288675E-15  0.43784277E-16  0.40000514E-16  0.57535916E-13  0.31013724E-13 -0.10715717E-13
      12.000 -0.31229411E-13 -0.57646363E-11 -0.18179225E-11  0.57433834E-14 -0.51222140E-15 -0.50563025E-15  0.78482661E-16  0.54891588E-16  0.83116279E-13  0.46599266E-13 -0.16175475E-13
      13.000 -0.45838217E-13 -0.85342446E-11 -0.26747315E-11  0.83997937E-14 -0.75124281E-15 -0.81703323E-15  0.12294175E-15  0.76653550E-16  0.11320676E-12  0.68370621E-13 -0.23768850E-13
      14.000 -0.65367028E-13 -0.12274406E-10 -0.38318419E-11  0.11961796E-13 -0.10777816E-14 -0.12848089E-14  0.17477717E-15  0.10963287E-15  0.14635053E-12  0.97700733E-13 -0.34056311E-13
      15.000 -0.91073816E-13 -0.17220708E-10 -0.53571810E-11  0.16675559E-13 -0.15206131E-14 -0.19481155E-14  0.22797486E-15  0.15968673E-15  0.18420339E-12  0.13605805E-12 -0.47642530E-13
      16.000 -0.12470592E-12 -0.23665569E-10 -0.73316772E-11  0.22863134E-13 -0.21115508E-14 -0.28560489E-14  0.27293089E-15  0.23453046E-15  0.22645708E-12  0.18577794E-12 -0.65326027E-13
      17.000 -0.16800190E-12 -0.31925663E-10 -0.98536254E-11  0.30856501E-13 -0.28856875E-14 -0.40856159E-14  0.29640088E-15  0.34460174E-15  0.26837619E-12  0.24969565E-12 -0.88089166E-13
      18.000 -0.22267455E-12 -0.42327462E-10 -0.13031048E-10  0.41010679E-13 -0.38878855E-14 -0.57233293E-14  0.27964309E-15  0.50357334E-15  0.30604307E-12  0.33038994E-12 -0.11696195E-12
      19.000 -0.29098009E-12 -0.55251122E-10 -0.16978451E-10  0.53784044E-13 -0.51740947E-14 -0.78473794E-14  0.19649754E-15  0.72839827E-15  0.33880749E-12  0.43062620E-12 -0.15305439E-12
      20.000 -0.37577952E-12 -0.71156129E-10 -0.21826170E-10  0.69735763E-13 -0.68061916E-14 -0.10547709E-13  0.13243136E-16  0.10397632E-14  0.36363005E-12  0.55420287E-12 -0.19772066E-12
      21.000 -0.47998585E-12 -0.90540437E-10 -0.27724978E-10  0.89453217E-13 -0.88522796E-14 -0.13945139E-13 -0.31154016E-15  0.14630425E-14  0.37243571E-12  0.70553452E-12 -0.25254549E-12
      22.000 -0.60654650E-12 -0.11391310E-09 -0.34837368E-10  0.11356647E-12 -0.11393716E-13 -0.18170775E-13 -0.82895578E-15  0.20288174E-14  0.35800039E-12  0.88881607E-12 -0.31919224E-12
      23.000 -0.75906739E-12 -0.14183474E-09 -0.43333814E-10  0.14283518E-12 -0.14526320E-13 -0.23346677E-13 -0.16016842E-14  0.27728394E-14  0.31659224E-12  0.11085144E-11 -0.39943749E-12
      24.000 -0.94186849E-12 -0.17494617E-09 -0.53402959E-10  0.17814320E-12 -0.18354469E-13 -0.29608126E-13 -0.27037961E-14  0.37363900E-14  0.24162258E-12  0.13702903E-11 -0.49534880E-12
      25.000 -0.11593633E-11 -0.21393042E-09 -0.65256378E-10  0.22041670E-12 -0.22991215E-13 -0.37124341E-13 -0.42204947E-14  0.49671378E-14  0.12079773E-12  0.16805186E-11 -0.60926443E-12
      26.000 -0.14160356E-11 -0.25949000E-09 -0.79118528E-10  0.27063871E-12 -0.28565688E-13 -0.46075677E-13 -0.62498779E-14  0.65195020E-14 -0.57246197E-13  0.20453587E-11 -0.74362216E-12
      27.000 -0.17171215E-11 -0.31239099E-09 -0.95222404E-10  0.32994246E-12 -0.35224064E-13 -0.56632673E-13 -0.89046489E-14  0.84544354E-14 -0.30008220E-12  0.24712979E-11 -0.90099537E-12
      28.000 -0.20686593E-11 -0.37348509E-09 -0.11382074E-09  0.39960292E-12 -0.43122854E-13 -0.68980594E-13 -0.12311637E-13  0.10839681E-13 -0.61864662E-12  0.29661581E-11 -0.10842859E-11
      29.000 -0.24767963E-11 -0.44366019E-09 -0.13519107E-09  0.48094560E-12 -0.52428930E-13 -0.83341702E-13 -0.16611305E-13  0.13750604E-13 -0.10303381E-11  0.35385480E-11 -0.12966974E-11
      30.000 -0.29477642E-11 -0.52381887E-09 -0.15962420E-09  0.57536227E-12 -0.63327476E-13 -0.99949836E-13 -0.21959464E-13  0.17270485E-13 -0.15515318E-11  0.41968347E-11 -0.15415442E-11
      31.000 -0.34886288E-11 -0.61493432E-09 -0.18741923E-09  0.68441220E-12 -0.76022786E-13 -0.11902761E-12 -0.28528886E-13  0.21490195E-13 -0.21944304E-11  0.49497491E-11 -0.18222901E-11
      32.000 -0.41073339E-11 -0.71807199E-09 -0.21889600E-09  0.80981047E-12 -0.90730681E-13 -0.14081343E-12 -0.36508513E-13  0.26508361E-13 -0.29750869E-11  0.58074870E-11 -0.21427586E-11
      33.000 -0.48119282E-11 -0.83432527E-09 -0.25440053E-09  0.95332639E-12 -0.10767841E-12 -0.16558544E-12 -0.46102670E-13  0.32432140E-13 -0.39167741E-11  0.67810862E-11 -0.25070990E-11
      34.000 -0.56105377E-11 -0.96479123E-09 -0.29429185E-09  0.11168002E-11 -0.12711314E-12 -0.19363330E-12 -0.57532702E-13  0.39377398E-13 -0.50415443E-11  0.78812872E-11 -0.29195725E-11
      35.000 -0.65121910E-11 -0.11106442E-08 -0.33893631E-09  0.13022530E-11 -0.14930258E-12 -0.22523354E-12 -0.71038465E-13  0.47468217E-13 -0.63667423E-11  0.91192081E-11 -0.33845944E-11
      36.000 -0.75268557E-11 -0.12731664E-08 -0.38872134E-09  0.15118711E-11 -0.17452638E-12 -0.26067945E-12 -0.86877201E-13  0.56836970E-13 -0.79139807E-11  0.10507551E-10 -0.39069635E-11
      37.000 -0.86645772E-11 -0.14536673E-08 -0.44406154E-09  0.17478935E-11 -0.20307606E-12 -0.30030690E-12 -0.10532246E-12  0.67625079E-13 -0.97128587E-11  0.12059892E-10 -0.44918205E-11
      38.000 -0.99354502E-11 -0.16534404E-08 -0.50538383E-09  0.20126305E-11 -0.23526411E-12 -0.34446290E-12 -0.12666572E-12  0.79983129E-13 -0.11791581E-10  0.13789427E-10 -0.51444099E-11
