 TIME             FUK             MAJO            INU             NE93            BJT             MA2             XAN             ULN             SHR             MDJ             INCN      
       0.000  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
       1.000 -0.10677358E-16 -0.94395347E-14 -0.31780262E-14  0.33419664E-17  0.30230651E-16  0.35937247E-17  0.62970042E-18 -0.92029708E-18  0.88266735E-15 -0.26428536E-15 -0.27712513E-15
       2.000  0.16362038E-15  0.94435268E-14 -0.56382901E-14  0.22804959E-16  0.25431259E-16  0.53758489E-17 -0.71470766E-18 -0.45853031E-17  0.11739128E-14 -0.17043825E-15 -0.26644312E-15
       3.000 -0.26504904E-16  0.61920130E-14 -0.79214978E-14 -0.48337978E-16 -0.43313975E-16 -0.70278006E-17 -0.12689737E-16 -0.17441720E-16 -0.54523681E-15 -0.17813349E-15 -0.20053021E-15
       4.000 -0.91192412E-15 -0.64952225E-13 -0.24971502E-13 -0.30564305E-15 -0.16535052E-15 -0.39354324E-16 -0.51981856E-16 -0.57303369E-16 -0.35847058E-14 -0.12758354E-14 -0.10013055E-14
       5.000 -0.26132138E-14 -0.20650638E-12 -0.75675935E-13 -0.87300545E-15 -0.43674536E-15 -0.10837574E-15 -0.15061675E-15 -0.15882983E-15 -0.91719542E-14 -0.39704871E-14 -0.32062675E-14
       6.000 -0.60160322E-14 -0.46297306E-12 -0.17870325E-12 -0.20664887E-14 -0.10909601E-14 -0.26012959E-15 -0.36349437E-15 -0.37644105E-15 -0.22815753E-13 -0.89782352E-14 -0.72327867E-14
       7.000 -0.12931656E-13 -0.98241824E-12 -0.36841687E-12 -0.44106737E-14 -0.23767617E-14 -0.55837261E-15 -0.77084657E-15 -0.78881743E-15 -0.50717114E-13 -0.18529718E-13 -0.14699247E-13
       8.000 -0.25226977E-13 -0.19716519E-11 -0.70356383E-12 -0.85193755E-14 -0.45547626E-14 -0.10718806E-14 -0.14794026E-14 -0.15049895E-14 -0.97907067E-13 -0.35859534E-13 -0.28316725E-13
       9.000 -0.44783930E-13 -0.36741910E-11 -0.12539348E-11 -0.15121023E-13 -0.80475710E-14 -0.18917225E-14 -0.26270301E-14 -0.26669354E-14 -0.17252903E-12 -0.64014748E-13 -0.50642504E-13
      10.000 -0.74501731E-13 -0.64074260E-11 -0.20936414E-11 -0.25213097E-13 -0.13458318E-13 -0.31482129E-14 -0.43865995E-14 -0.44484127E-14 -0.28811806E-12 -0.10652159E-12 -0.84297529E-13
      11.000 -0.11839064E-12 -0.10520229E-10 -0.33166051E-11 -0.40053376E-13 -0.21423326E-13 -0.49953167E-14 -0.69643748E-14 -0.70555630E-14 -0.45929189E-12 -0.16871075E-12 -0.13333493E-12
      12.000 -0.18055157E-12 -0.16311326E-10 -0.50443153E-11 -0.61009265E-13 -0.32599592E-13 -0.75947749E-14 -0.10598007E-13 -0.10730136E-13 -0.69951788E-12 -0.25705474E-12 -0.20304137E-12
      13.000 -0.26510281E-12 -0.24128351E-10 -0.74098373E-11 -0.89574754E-13 -0.47822971E-13 -0.11133842E-13 -0.15559578E-13 -0.15750134E-13 -0.10257698E-11 -0.37780604E-12 -0.29852316E-12
      14.000 -0.37726643E-12 -0.34560956E-10 -0.10549821E-10 -0.12753280E-12 -0.68122928E-13 -0.15842847E-13 -0.22158625E-13 -0.22427333E-13 -0.14609169E-11 -0.53771664E-12 -0.42493444E-12
      15.000 -0.52344511E-12 -0.48365635E-10 -0.14621228E-10 -0.17693829E-12 -0.94557790E-13 -0.21977285E-13 -0.30739358E-13 -0.31107003E-13 -0.20288186E-11 -0.74546837E-12 -0.58896363E-12
      16.000 -0.71006982E-12 -0.66161833E-10 -0.19809072E-10 -0.23994452E-12 -0.12819860E-12 -0.29799812E-13 -0.41677068E-13 -0.42170068E-13 -0.27517987E-11 -0.10108907E-11 -0.79857325E-12
      17.000 -0.94349310E-12 -0.88390098E-10 -0.26307497E-10 -0.31881163E-12 -0.17029641E-12 -0.39598656E-13 -0.55379447E-13 -0.56031760E-13 -0.36557230E-11 -0.13434132E-11 -0.10614030E-11
      18.000 -0.12311489E-11 -0.11563040E-09 -0.34309775E-10 -0.41607093E-12 -0.22228907E-12 -0.51705161E-13 -0.72287548E-13 -0.73136511E-13 -0.47724421E-11 -0.17528162E-11 -0.13849882E-11
      19.000 -0.15815905E-11 -0.14875518E-09 -0.44025842E-10 -0.53449191E-12 -0.28561375E-12 -0.66472605E-13 -0.92870695E-13 -0.93955519E-13 -0.61341730E-11 -0.22507488E-11 -0.17783541E-11
      20.000 -0.20031901E-11 -0.18866937E-09 -0.55689995E-10 -0.67688314E-12 -0.36168672E-12 -0.84255779E-13 -0.11762119E-12 -0.11898760E-12 -0.77706706E-11 -0.28498098E-11 -0.22516851E-11
      21.000 -0.25040169E-11 -0.23609559E-09 -0.69539359E-10 -0.84609834E-12 -0.45208432E-12 -0.10543083E-12 -0.14705495E-12 -0.14875687E-12 -0.97148475E-11 -0.35618262E-11 -0.28145485E-11
      22.000 -0.30931130E-11 -0.29172988E-09 -0.85802671E-10 -0.10452146E-11 -0.55854707E-12 -0.13041395E-12 -0.18171205E-12 -0.18380681E-12 -0.12005360E-10 -0.43986897E-11 -0.34761436E-11
      23.000 -0.37805256E-11 -0.35641267E-09 -0.10471982E-09 -0.12774944E-11 -0.68277411E-12 -0.15963791E-12 -0.22215115E-12 -0.22469774E-12 -0.14680297E-10 -0.53740258E-11 -0.42470585E-11
      24.000 -0.45758791E-11 -0.43100397E-09 -0.12655046E-09 -0.15461708E-11 -0.82640517E-12 -0.19353029E-12 -0.26894420E-12 -0.27200827E-12 -0.17774172E-10 -0.65021763E-11 -0.51389007E-11
      25.000 -0.54882685E-11 -0.51625584E-09 -0.15155045E-09 -0.18544618E-11 -0.99122248E-12 -0.23253608E-12 -0.32267837E-12 -0.32633381E-12 -0.21324330E-10 -0.77963316E-11 -0.61623618E-11
      26.000 -0.65276923E-11 -0.61293459E-09 -0.17996021E-09 -0.22057728E-11 -0.11791565E-11 -0.27713845E-12 -0.38395773E-12 -0.38828117E-12 -0.25373831E-10 -0.92695025E-11 -0.73275298E-11
      27.000 -0.77050921E-11 -0.72190227E-09 -0.21202715E-09 -0.26036586E-11 -0.13920630E-11 -0.32783328E-12 -0.45339805E-12 -0.45846671E-12 -0.29964385E-10 -0.10936380E-10 -0.86458447E-11
      28.000 -0.90307818E-11 -0.84395734E-09 -0.24801538E-09 -0.30515900E-11 -0.16317078E-11 -0.38510582E-12 -0.53162161E-12 -0.53751858E-12 -0.35133110E-10 -0.12812205E-10 -0.10129685E-10
      29.000 -0.10514347E-10 -0.97976018E-09 -0.28817930E-09 -0.35529743E-11 -0.18999891E-11 -0.44945575E-12 -0.61925941E-12 -0.62607526E-12 -0.40919753E-10 -0.14910721E-10 -0.11790239E-10
      30.000 -0.12166237E-10 -0.11300105E-08 -0.33275099E-09 -0.41113789E-11 -0.21989420E-11 -0.52141979E-12 -0.71695326E-12 -0.72478002E-12 -0.47369828E-10 -0.17245275E-10 -0.13637874E-10
      31.000 -0.13997796E-10 -0.12954965E-08 -0.38196567E-09 -0.47304881E-11 -0.25304944E-11 -0.60154355E-12 -0.82535028E-12 -0.83427922E-12 -0.54526689E-10 -0.19830870E-10 -0.15684296E-10
      32.000 -0.16019538E-10 -0.14768624E-08 -0.43607272E-09 -0.54138509E-11 -0.28964546E-11 -0.69035656E-12 -0.94509795E-12 -0.95522519E-12 -0.62428014E-10 -0.22682909E-10 -0.17942087E-10
      33.000 -0.18241060E-10 -0.16745428E-08 -0.49530618E-09 -0.61649094E-11 -0.32987578E-11 -0.78840043E-12 -0.10768473E-11 -0.10882753E-11 -0.71113983E-10 -0.25814958E-10 -0.20422370E-10
      34.000 -0.20672811E-10 -0.18890387E-08 -0.55987074E-09 -0.69872480E-11 -0.37394698E-11 -0.89625351E-12 -0.12212556E-11 -0.12340863E-11 -0.80630775E-10 -0.29240002E-10 -0.23135247E-10
      35.000 -0.23326133E-10 -0.21210229E-08 -0.62997102E-09 -0.78845471E-11 -0.42205208E-11 -0.10145000E-11 -0.13789810E-11 -0.13933134E-11 -0.91021732E-10 -0.32972721E-10 -0.26092199E-10
